Product_SerialNumber,Product_Name,Product_measurement,Product_description,Product_line_number
SN389901165,Garmin Fenix 7 Plus,21x14x2 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN049073
SN636990013,Samsung T7 SSD,10x13x8 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN034479
SN246881526,GoPro Hero 12 Max,20x24x7 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN009179
SN162390086,DJI Mini 4 Pro Pro,35x27x6 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN029984
SN236402267,Garmin Fenix 7,32x14x9 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN046494
SN548058043,Sony Alpha 7IV,20x10x2 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN029698
SN134911099,PlayStation 5,35x10x10 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN003415
SN515253268,"Samsung 65"" QLED",26x13x10 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN049649
SN108445383,PlayStation 5,25x5x4 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN016512
SN617581747,Sony WH-1000XM5,29x24x2 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN015377
SN262751099,Logitech MX Keys,30x6x6 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN003870
SN562314772,Canon EOS R50 Standard,40x24x9 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN013003
SN390838922,DJI Mini 4 Pro SE,23x8x5 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN022657
SN412818441,Canon EOS R50,10x16x2 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN017900
SN611788471,ASUS ROG Monitor,31x15x10 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN015030
SN931906124,PlayStation 5,12x28x7 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN048870
SN512165815,"Samsung 65"" QLED Lite",10x17x2 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN033862
SN566961377,iPhone 15 Pro Standard,23x17x2 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN045317
SN976132363,Sony WH-1000XM5,40x14x5 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN028711
SN246073614,Epson L3250,28x19x6 cm,High-quality Epson L3250. Perfect for everyday use.,PLN048206
SN582138582,PlayStation 5 Plus,20x24x9 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN014769
SN983258041,Xbox Series X Max,32x29x3 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN019079
SN723359206,ASUS ROG Monitor Standard,27x11x5 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN008652
SN375072268,AirPods Pro 2,40x19x6 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN014550
SN300407281,PlayStation 5,32x15x9 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN019218
SN258152154,Canon EOS R50,14x22x4 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN020672
SN765466488,PlayStation 5,26x16x4 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN003731
SN442868695,Xbox Series X,39x17x1 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN012811
SN631619127,PlayStation 5,25x6x6 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN009200
SN380892232,"LG OLED 55""",37x26x2 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN031865
SN117977325,Samsung T7 SSD,35x6x8 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN045294
SN638879735,Xiaomi 14 Pro,10x28x7 cm,High-quality Xiaomi 14 Pro. Perfect for everyday use.,PLN044840
SN350346336,AirPods Pro 2 SE,35x13x6 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN020432
SN947662356,"Samsung 65"" QLED Ultra",26x5x10 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN012555
SN615517327,Samsung Galaxy Tab S9,29x17x4 cm,High-quality Samsung Galaxy Tab S9. Perfect for everyday use.,PLN010253
SN668370652,iPhone 15 Pro Plus,34x16x5 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN006834
SN821875925,Samsung Galaxy Tab S9,19x20x10 cm,High-quality Samsung Galaxy Tab S9. Perfect for everyday use.,PLN003700
SN361347624,Epson L3250 Plus,12x16x10 cm,High-quality Epson L3250. Perfect for everyday use.,PLN046219
SN112703315,Samsung T7 SSD Lite,31x19x8 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN029682
SN699313297,iPhone 15 Pro Pro,25x13x2 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN014073
SN565676781,"Samsung 65"" QLED",17x9x1 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN044594
SN167123977,Sony WH-1000XM5,10x29x6 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN019698
SN247581613,Nintendo Switch OLED Standard,25x12x5 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN041281
SN665361187,Garmin Fenix 7,14x8x4 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN007700
SN981643779,Epson L3250,15x12x6 cm,High-quality Epson L3250. Perfect for everyday use.,PLN028627
SN463456800,Epson L3250,28x11x4 cm,High-quality Epson L3250. Perfect for everyday use.,PLN012714
SN220294510,ASUS ZenBook 14 Pro,22x13x6 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN019204
SN400113392,"LG OLED 55""",26x26x5 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN013508
SN703226647,Dyson V15 Lite,22x9x2 cm,High-quality Dyson V15. Perfect for everyday use.,PLN036529
SN500467574,Dyson V15,18x14x3 cm,High-quality Dyson V15. Perfect for everyday use.,PLN046280
SN511589432,Logitech MX Keys Max,15x10x9 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN028429
SN244407217,DJI Mini 4 Pro Max,30x28x10 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN010767
SN699147425,Kindle Paperwhite,39x8x6 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN012652
SN870809125,Razer DeathAdder,15x25x5 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN028460
SN141084338,Razer DeathAdder,13x12x10 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN012185
SN294981681,GoPro Hero 12,30x17x3 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN022701
SN159870818,Sony Alpha 7IV Lite,27x10x9 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN036645
SN149163980,iPhone 15 Pro Ultra,31x18x3 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN024923
SN566152395,Logitech MX Keys Plus,39x7x1 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN042806
SN207625426,Sony Alpha 7IV Standard,39x25x10 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN022499
SN158931992,Xbox Series X,17x24x5 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN012622
SN419777307,Dyson V15,32x11x10 cm,High-quality Dyson V15. Perfect for everyday use.,PLN006894
SN266556424,Xiaomi 14 Pro Max,17x27x1 cm,High-quality Xiaomi 14 Pro. Perfect for everyday use.,PLN035592
SN219964911,Canon EOS R50 Plus,28x11x2 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN000430
SN274149391,Sony Alpha 7IV,24x30x3 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN037355
SN367922719,GoPro Hero 12 Plus,26x16x8 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN049343
SN641089401,PlayStation 5 Ultra,24x8x3 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN041587
SN777835522,Kindle Paperwhite,33x16x8 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN005965
SN739768807,Kindle Paperwhite Lite,16x9x10 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN014977
SN842211155,Xbox Series X,11x29x4 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN023547
SN159622285,GoPro Hero 12,28x13x7 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN028699
SN261912137,Logitech MX Keys,37x16x5 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN006532
SN376655041,ASUS ZenBook 14,36x7x7 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN034339
SN257471013,Garmin Fenix 7,14x23x3 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN015394
SN806006384,ASUS ZenBook 14 Lite,19x21x9 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN000538
SN678113412,iPhone 15 Pro Plus,13x7x4 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN014042
SN245673075,JBL Flip 6,34x29x7 cm,High-quality JBL Flip 6. Perfect for everyday use.,PLN028507
SN674653389,Dell XPS 15,12x24x4 cm,High-quality Dell XPS 15. Perfect for everyday use.,PLN029795
SN115247157,Garmin Fenix 7 Pro,15x12x3 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN044163
SN413033221,Garmin Fenix 7,35x7x3 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN034482
SN940120598,Epson L3250 SE,27x20x6 cm,High-quality Epson L3250. Perfect for everyday use.,PLN026623
SN464770555,Apple Watch Series 9 SE,28x12x8 cm,High-quality Apple Watch Series 9. Perfect for everyday use.,PLN013884
SN985928866,iPad Air 5,34x7x4 cm,High-quality iPad Air 5. Perfect for everyday use.,PLN035051
SN268750901,DJI Mini 4 Pro Ultra,24x11x9 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN006110
SN304663116,Samsung T7 SSD Standard,10x30x3 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN041149
SN573485701,Logitech MX Keys Pro,25x29x8 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN020849
SN230761224,PlayStation 5 Pro,32x14x5 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN008162
SN824954148,Nintendo Switch OLED,26x9x10 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN007250
SN798286236,Dyson V15 SE,12x10x7 cm,High-quality Dyson V15. Perfect for everyday use.,PLN023741
SN429484816,Logitech MX Keys,15x16x2 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN022632
SN472845185,Nintendo Switch OLED,34x15x3 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN002091
SN929073308,Samsung Galaxy S24,38x24x1 cm,High-quality Samsung Galaxy S24. Perfect for everyday use.,PLN005825
SN111767143,Samsung T7 SSD,16x6x10 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN046601
SN997802121,Epson L3250 Plus,33x16x4 cm,High-quality Epson L3250. Perfect for everyday use.,PLN027823
SN146143917,Apple Watch Series 9 SE,30x8x8 cm,High-quality Apple Watch Series 9. Perfect for everyday use.,PLN024184
SN465386172,Sony WH-1000XM5 Standard,24x5x6 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN025212
SN212049628,Nintendo Switch OLED,28x17x7 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN044927
SN208845305,Sony WH-1000XM5,28x20x7 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN033553
SN552291754,ASUS ROG Monitor,11x28x10 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN009508
SN808351589,JBL Flip 6,11x30x4 cm,High-quality JBL Flip 6. Perfect for everyday use.,PLN007820
SN871435208,MacBook Pro 14 Ultra,17x11x2 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN045970
SN471262120,AirPods Pro 2 Max,27x9x1 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN014780
SN503775620,iPhone 15 Pro,28x5x10 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN032226
SN390119273,MacBook Pro 14,17x9x6 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN046511
SN977274810,AirPods Pro 2,12x8x4 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN040164
SN118755013,Epson L3250 Max,19x18x10 cm,High-quality Epson L3250. Perfect for everyday use.,PLN033230
SN497665934,ASUS ZenBook 14,13x22x5 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN037793
SN712305802,JBL Flip 6 Ultra,13x9x4 cm,High-quality JBL Flip 6. Perfect for everyday use.,PLN042645
SN556284606,Garmin Fenix 7,37x12x9 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN034960
SN483807568,AirPods Pro 2 Plus,17x16x8 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN008587
SN178746714,ASUS ROG Monitor Max,14x25x4 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN007440
SN233114896,Dell XPS 15 Pro,30x7x8 cm,High-quality Dell XPS 15. Perfect for everyday use.,PLN040290
SN588962130,Sony WH-1000XM5,37x6x8 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN033011
SN620932215,Logitech MX Keys,24x21x2 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN039483
SN753711932,Samsung T7 SSD,35x22x1 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN019645
SN583759674,Xiaomi 14 Pro,39x9x8 cm,High-quality Xiaomi 14 Pro. Perfect for everyday use.,PLN039930
SN143119987,Samsung T7 SSD,20x10x3 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN028807
SN824852177,iPad Air 5 Plus,13x5x6 cm,High-quality iPad Air 5. Perfect for everyday use.,PLN017109
SN457198220,ASUS ROG Monitor,18x8x6 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN007250
SN410769971,iPhone 15 Pro Plus,26x13x9 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN045309
SN657324842,Samsung Galaxy S24,28x23x8 cm,High-quality Samsung Galaxy S24. Perfect for everyday use.,PLN011174
SN724714782,ASUS ROG Monitor,11x16x10 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN042184
SN308653007,Samsung Galaxy Tab S9,25x12x9 cm,High-quality Samsung Galaxy Tab S9. Perfect for everyday use.,PLN044639
SN753805447,Sony Alpha 7IV,20x21x2 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN028149
SN898149957,Sony WH-1000XM5 Lite,33x9x3 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN038447
SN862161956,Razer DeathAdder,28x22x5 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN049616
SN499582236,iPad Air 5 Lite,39x8x6 cm,High-quality iPad Air 5. Perfect for everyday use.,PLN039411
SN220134083,Samsung Galaxy Tab S9,38x29x9 cm,High-quality Samsung Galaxy Tab S9. Perfect for everyday use.,PLN031094
SN642026297,Razer DeathAdder Pro,29x14x5 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN017798
SN865402752,Samsung Galaxy S24,40x15x9 cm,High-quality Samsung Galaxy S24. Perfect for everyday use.,PLN015238
SN620580236,"LG OLED 55"" SE",33x10x8 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN027362
SN893597685,Samsung T7 SSD,22x20x6 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN037251
SN230709673,MacBook Pro 14,32x27x10 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN033530
SN887800374,ASUS ROG Monitor,29x21x9 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN036736
SN564828977,Samsung Galaxy S24,32x23x4 cm,High-quality Samsung Galaxy S24. Perfect for everyday use.,PLN029067
SN542985542,Nespresso Vertuo Lite,38x19x5 cm,High-quality Nespresso Vertuo. Perfect for everyday use.,PLN043058
SN637219857,ASUS ZenBook 14 Plus,10x21x9 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN012924
SN740090397,Garmin Fenix 7 Pro,10x11x5 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN045334
SN376671582,AirPods Pro 2 Max,21x13x9 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN026266
SN533909820,"LG OLED 55""",17x15x10 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN006049
SN666033334,"Samsung 65"" QLED",36x9x10 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN003899
SN221438870,Nintendo Switch OLED,17x10x10 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN036786
SN786527574,Xiaomi 14 Pro,17x28x4 cm,High-quality Xiaomi 14 Pro. Perfect for everyday use.,PLN006358
SN991858405,iPhone 15 Pro Pro,28x19x5 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN017195
SN660906951,ASUS ROG Monitor,22x9x8 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN037534
SN417334625,AirPods Pro 2 Pro,23x20x5 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN032282
SN879019991,ASUS ZenBook 14 Plus,26x18x6 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN016104
