Return_ID,Return_Date,Return_Reason,Return_Status,Approval_Date,Return_Notes,Customer_account_ID
RET000103,2025-05-10,Defective product,Approved,2025-05-12,Customer requested return. Condition noted.,CST002472
RET000104,2022-04-25,Changed mind,Approved,2022-05-02,Customer requested return. Condition noted.,CST001355
RET000105,2023-09-22,Better price found elsewhere,Approved,2023-09-29,Customer requested return. Condition noted.,CST000843
RET000106,2025-08-07,Incompatible with device,Approved,2025-08-12,Customer requested return. Condition noted.,CST001063
RET000107,2025-01-17,Product not as described,Approved,2025-01-18,Customer requested return. Condition noted.,CST002988
RET000108,2024-05-20,Duplicate purchase,Approved,2024-05-26,Customer requested return. Condition noted.,CST002699
RET000109,2023-08-28,Wrong item delivered,Approved,2023-09-02,Customer requested return. Condition noted.,CST001713
RET000110,2022-10-07,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST000681
RET000111,2024-04-06,Incompatible with device,Approved,2024-04-12,Customer requested return. Condition noted.,CST000437
RET000112,2023-04-22,Damaged during shipping,Approved,2023-04-23,Customer requested return. Condition noted.,CST001701
RET000113,2025-12-18,Damaged during shipping,Approved,2025-12-20,Customer requested return. Condition noted.,CST000592
RET000114,2025-01-12,Defective product,Rejected,2025-01-13,Customer requested return. Condition noted.,CST002111
RET000115,2023-07-17,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST001268
RET000116,2023-02-28,Wrong item delivered,Approved,2023-03-04,Customer requested return. Condition noted.,CST000099
RET000117,2022-05-31,Wrong item delivered,Approved,2022-06-02,Customer requested return. Condition noted.,CST000077
RET000118,2023-08-09,Changed mind,Approved,2023-08-11,Customer requested return. Condition noted.,CST002187
RET000119,2025-12-17,Damaged during shipping,Rejected,2025-12-19,Customer requested return. Condition noted.,CST002917
RET000120,2023-10-27,Defective product,Approved,2023-10-30,Customer requested return. Condition noted.,CST001770
RET000121,2022-07-14,Damaged during shipping,Approved,2022-07-15,Customer requested return. Condition noted.,CST002293
RET000122,2022-11-20,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST002972
RET000123,2025-07-10,Changed mind,Approved,2025-07-17,Customer requested return. Condition noted.,CST001113
RET000124,2022-10-09,Better price found elsewhere,Approved,2022-10-15,Customer requested return. Condition noted.,CST000615
RET000125,2022-08-08,Incompatible with device,Rejected,2022-08-14,Customer requested return. Condition noted.,CST000187
RET000126,2023-09-18,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST000966
RET000127,2022-01-18,Product not as described,Processing,,Customer requested return. Condition noted.,CST002306
RET000128,2025-09-16,Defective product,Approved,2025-09-18,Customer requested return. Condition noted.,CST002609
RET000129,2024-01-22,Damaged during shipping,Approved,2024-01-24,Customer requested return. Condition noted.,CST001563
RET000130,2025-08-31,Damaged during shipping,Approved,2025-09-02,Customer requested return. Condition noted.,CST001468
RET000131,2024-10-21,Duplicate purchase,Rejected,2024-10-22,Customer requested return. Condition noted.,CST002528
RET000132,2023-01-13,Better price found elsewhere,Rejected,2023-01-14,Customer requested return. Condition noted.,CST001389
RET000133,2022-07-07,Product not as described,Rejected,2022-07-11,Customer requested return. Condition noted.,CST002101
RET000134,2025-01-03,Incompatible with device,Processing,,Customer requested return. Condition noted.,CST000290
RET000135,2023-12-22,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002884
RET000136,2023-09-29,Defective product,Approved,2023-10-05,Customer requested return. Condition noted.,CST001773
RET000137,2024-04-19,Product not as described,Pending,,Customer requested return. Condition noted.,CST002296
RET000138,2024-12-30,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST002809
RET000139,2023-10-27,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST002009
RET000140,2022-03-30,Wrong item delivered,Approved,2022-04-06,Customer requested return. Condition noted.,CST000775
RET000141,2024-11-12,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST002531
RET000142,2022-02-18,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST001505
RET000143,2022-05-13,Wrong item delivered,Approved,2022-05-14,Customer requested return. Condition noted.,CST000759
RET000144,2022-09-20,Wrong item delivered,Approved,2022-09-24,Customer requested return. Condition noted.,CST002691
RET000145,2025-10-22,Product not as described,Processing,,Customer requested return. Condition noted.,CST000953
RET000146,2025-08-23,Defective product,Approved,2025-08-25,Customer requested return. Condition noted.,CST002891
RET000147,2025-12-05,Changed mind,Approved,2025-12-09,Customer requested return. Condition noted.,CST002869
RET000148,2024-06-16,Wrong item delivered,Approved,2024-06-22,Customer requested return. Condition noted.,CST002735
RET000149,2022-08-12,Product not as described,Approved,2022-08-17,Customer requested return. Condition noted.,CST001242
RET000150,2023-06-22,Better price found elsewhere,Approved,2023-06-28,Customer requested return. Condition noted.,CST000801
RET000151,2022-12-09,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002592
RET000152,2024-01-05,Defective product,Approved,2024-01-07,Customer requested return. Condition noted.,CST000375
RET000153,2023-03-01,Wrong item delivered,Approved,2023-03-08,Customer requested return. Condition noted.,CST000760
RET000154,2023-10-01,Better price found elsewhere,Approved,2023-10-07,Customer requested return. Condition noted.,CST002139
RET000155,2023-08-18,Duplicate purchase,Approved,2023-08-23,Customer requested return. Condition noted.,CST000467
RET000156,2022-01-08,Wrong item delivered,Rejected,2022-01-11,Customer requested return. Condition noted.,CST002802
RET000157,2024-06-26,Better price found elsewhere,Approved,2024-07-03,Customer requested return. Condition noted.,CST001421
RET000158,2022-09-08,Defective product,Approved,2022-09-11,Customer requested return. Condition noted.,CST002420
RET000159,2025-12-29,Defective product,Pending,,Customer requested return. Condition noted.,CST001953
RET000160,2023-12-27,Defective product,Pending,,Customer requested return. Condition noted.,CST002898
RET000161,2022-11-12,Changed mind,Processing,,Customer requested return. Condition noted.,CST000834
RET000162,2024-04-25,Incompatible with device,Approved,2024-04-28,Customer requested return. Condition noted.,CST000263
RET000163,2023-07-18,Damaged during shipping,Approved,2023-07-19,Customer requested return. Condition noted.,CST001054
RET000164,2023-03-17,Better price found elsewhere,Approved,2023-03-20,Customer requested return. Condition noted.,CST002678
RET000165,2023-04-08,Duplicate purchase,Approved,2023-04-15,Customer requested return. Condition noted.,CST002627
RET000166,2023-08-01,Wrong item delivered,Processing,,Customer requested return. Condition noted.,CST001699
RET000167,2024-02-12,Incompatible with device,Approved,2024-02-17,Customer requested return. Condition noted.,CST001573
RET000168,2023-11-25,Incompatible with device,Approved,2023-11-26,Customer requested return. Condition noted.,CST001593
RET000169,2024-05-09,Changed mind,Pending,,Customer requested return. Condition noted.,CST001380
RET000170,2023-03-10,Wrong item delivered,Rejected,2023-03-11,Customer requested return. Condition noted.,CST000833
RET000171,2023-06-21,Product not as described,Rejected,2023-06-24,Customer requested return. Condition noted.,CST002513
RET000172,2025-10-14,Damaged during shipping,Rejected,2025-10-21,Customer requested return. Condition noted.,CST000426
RET000173,2025-07-13,Product not as described,Processing,,Customer requested return. Condition noted.,CST001729
RET000174,2024-12-29,Product not as described,Approved,2025-01-05,Customer requested return. Condition noted.,CST000783
RET000175,2022-01-23,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST001594
RET000176,2025-02-22,Incompatible with device,Approved,2025-02-23,Customer requested return. Condition noted.,CST002212
RET000177,2024-07-09,Incompatible with device,Approved,2024-07-10,Customer requested return. Condition noted.,CST000041
RET000178,2025-06-19,Damaged during shipping,Rejected,2025-06-22,Customer requested return. Condition noted.,CST001850
RET000179,2025-07-08,Changed mind,Rejected,2025-07-15,Customer requested return. Condition noted.,CST000042
RET000180,2023-10-11,Product not as described,Processing,,Customer requested return. Condition noted.,CST001643
RET000181,2022-07-28,Changed mind,Approved,2022-08-01,Customer requested return. Condition noted.,CST001400
RET000182,2025-08-07,Product not as described,Approved,2025-08-10,Customer requested return. Condition noted.,CST001461
RET000183,2024-06-25,Incompatible with device,Approved,2024-07-02,Customer requested return. Condition noted.,CST002701
RET000184,2024-05-07,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002561
RET000185,2023-08-01,Incompatible with device,Processing,,Customer requested return. Condition noted.,CST002098
RET000186,2024-07-28,Wrong item delivered,Approved,2024-07-30,Customer requested return. Condition noted.,CST001058
RET000187,2023-08-26,Damaged during shipping,Processing,,Customer requested return. Condition noted.,CST002551
RET000188,2023-03-04,Product not as described,Pending,,Customer requested return. Condition noted.,CST000899
RET000189,2022-01-20,Wrong item delivered,Processing,,Customer requested return. Condition noted.,CST001914
RET000190,2023-01-13,Product not as described,Processing,,Customer requested return. Condition noted.,CST000130
RET000191,2024-12-29,Incompatible with device,Approved,2025-01-02,Customer requested return. Condition noted.,CST000801
RET000192,2022-05-04,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST001605
RET000193,2024-06-13,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST002289
RET000194,2023-06-17,Incompatible with device,Processing,,Customer requested return. Condition noted.,CST002840
RET000195,2025-12-04,Incompatible with device,Approved,2025-12-10,Customer requested return. Condition noted.,CST002367
RET000196,2024-04-28,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST000374
RET000197,2024-05-17,Wrong item delivered,Rejected,2024-05-20,Customer requested return. Condition noted.,CST001253
RET000198,2022-10-20,Duplicate purchase,Approved,2022-10-23,Customer requested return. Condition noted.,CST000074
RET000199,2023-07-25,Product not as described,Rejected,2023-07-27,Customer requested return. Condition noted.,CST002139
RET000200,2025-08-31,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST001265
RET000201,2022-12-01,Incompatible with device,Approved,2022-12-07,Customer requested return. Condition noted.,CST001092
RET000202,2022-04-02,Defective product,Approved,2022-04-09,Customer requested return. Condition noted.,CST000675
RET000203,2025-02-10,Incompatible with device,Approved,2025-02-12,Customer requested return. Condition noted.,CST002561
RET000204,2022-03-22,Changed mind,Rejected,2022-03-23,Customer requested return. Condition noted.,CST001318
RET000205,2025-01-11,Product not as described,Approved,2025-01-12,Customer requested return. Condition noted.,CST000022
RET000206,2025-06-27,Changed mind,Processing,,Customer requested return. Condition noted.,CST002774
RET000207,2025-01-10,Defective product,Approved,2025-01-15,Customer requested return. Condition noted.,CST001230
RET000208,2023-11-22,Wrong item delivered,Approved,2023-11-29,Customer requested return. Condition noted.,CST002419
RET000209,2025-07-29,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST002043
RET000210,2024-01-08,Wrong item delivered,Approved,2024-01-14,Customer requested return. Condition noted.,CST000807
RET000211,2022-07-01,Wrong item delivered,Approved,2022-07-05,Customer requested return. Condition noted.,CST002465
RET000212,2024-06-26,Changed mind,Approved,2024-06-27,Customer requested return. Condition noted.,CST000149
RET000213,2024-01-28,Damaged during shipping,Approved,2024-02-01,Customer requested return. Condition noted.,CST002952
RET000214,2025-03-14,Damaged during shipping,Approved,2025-03-15,Customer requested return. Condition noted.,CST001887
RET000215,2024-04-08,Changed mind,Approved,2024-04-10,Customer requested return. Condition noted.,CST001440
RET000216,2022-12-18,Duplicate purchase,Approved,2022-12-22,Customer requested return. Condition noted.,CST001933
RET000217,2023-02-21,Wrong item delivered,Approved,2023-02-26,Customer requested return. Condition noted.,CST002442
RET000218,2024-07-18,Better price found elsewhere,Rejected,2024-07-24,Customer requested return. Condition noted.,CST000011
RET000219,2024-03-11,Duplicate purchase,Approved,2024-03-15,Customer requested return. Condition noted.,CST001087
RET000220,2025-04-22,Duplicate purchase,Approved,2025-04-27,Customer requested return. Condition noted.,CST001396
RET000221,2024-12-25,Better price found elsewhere,Approved,2025-01-01,Customer requested return. Condition noted.,CST002373
RET000222,2023-04-11,Changed mind,Approved,2023-04-13,Customer requested return. Condition noted.,CST002318
RET000223,2025-04-13,Defective product,Processing,,Customer requested return. Condition noted.,CST000261
RET000224,2025-09-08,Defective product,Approved,2025-09-11,Customer requested return. Condition noted.,CST002005
RET000225,2022-10-19,Better price found elsewhere,Approved,2022-10-21,Customer requested return. Condition noted.,CST002787
RET000226,2022-01-13,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST001644
RET000227,2023-03-11,Incompatible with device,Approved,2023-03-16,Customer requested return. Condition noted.,CST000195
RET000228,2025-03-10,Wrong item delivered,Approved,2025-03-13,Customer requested return. Condition noted.,CST000553
RET000229,2023-06-22,Wrong item delivered,Processing,,Customer requested return. Condition noted.,CST000799
RET000230,2022-04-08,Better price found elsewhere,Approved,2022-04-13,Customer requested return. Condition noted.,CST000074
RET000231,2024-03-07,Changed mind,Approved,2024-03-12,Customer requested return. Condition noted.,CST000113
RET000232,2025-12-13,Damaged during shipping,Approved,2025-12-15,Customer requested return. Condition noted.,CST002821
RET000233,2025-11-09,Changed mind,Processing,,Customer requested return. Condition noted.,CST001851
RET000234,2024-09-27,Changed mind,Approved,2024-10-02,Customer requested return. Condition noted.,CST000920
RET000235,2023-04-16,Changed mind,Approved,2023-04-23,Customer requested return. Condition noted.,CST002080
RET000236,2025-07-12,Defective product,Approved,2025-07-16,Customer requested return. Condition noted.,CST001762
RET000237,2023-11-23,Duplicate purchase,Approved,2023-11-24,Customer requested return. Condition noted.,CST000220
RET000238,2022-09-21,Duplicate purchase,Approved,2022-09-22,Customer requested return. Condition noted.,CST000102
RET000239,2023-10-17,Damaged during shipping,Rejected,2023-10-21,Customer requested return. Condition noted.,CST001731
RET000240,2022-04-07,Wrong item delivered,Approved,2022-04-10,Customer requested return. Condition noted.,CST000516
RET000241,2025-04-05,Wrong item delivered,Approved,2025-04-11,Customer requested return. Condition noted.,CST002716
RET000242,2022-07-28,Damaged during shipping,Approved,2022-08-03,Customer requested return. Condition noted.,CST002841
RET000243,2023-04-29,Changed mind,Approved,2023-05-03,Customer requested return. Condition noted.,CST002708
RET000244,2024-02-26,Better price found elsewhere,Rejected,2024-03-01,Customer requested return. Condition noted.,CST002916
RET000245,2025-03-16,Wrong item delivered,Approved,2025-03-22,Customer requested return. Condition noted.,CST002408
RET000246,2024-11-21,Better price found elsewhere,Approved,2024-11-25,Customer requested return. Condition noted.,CST000139
RET000247,2024-03-10,Damaged during shipping,Rejected,2024-03-13,Customer requested return. Condition noted.,CST000010
RET000248,2025-05-30,Duplicate purchase,Approved,2025-06-03,Customer requested return. Condition noted.,CST000956
RET000249,2023-01-29,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST000066
RET000250,2024-10-11,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST001494
RET000251,2025-11-12,Changed mind,Processing,,Customer requested return. Condition noted.,CST001968
RET000252,2024-07-14,Wrong item delivered,Approved,2024-07-16,Customer requested return. Condition noted.,CST000140
RET000253,2024-12-31,Defective product,Approved,2025-01-05,Customer requested return. Condition noted.,CST002002
RET000254,2024-09-06,Changed mind,Approved,2024-09-10,Customer requested return. Condition noted.,CST000368
RET000255,2022-01-18,Product not as described,Processing,,Customer requested return. Condition noted.,CST001296
RET000256,2025-09-30,Better price found elsewhere,Approved,2025-10-04,Customer requested return. Condition noted.,CST000720
RET000257,2023-08-18,Changed mind,Approved,2023-08-24,Customer requested return. Condition noted.,CST002835
RET000258,2023-05-15,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST002296
RET000259,2024-09-22,Wrong item delivered,Approved,2024-09-28,Customer requested return. Condition noted.,CST002654
RET000260,2024-03-18,Incompatible with device,Approved,2024-03-22,Customer requested return. Condition noted.,CST001449
RET000261,2022-03-06,Defective product,Rejected,2022-03-11,Customer requested return. Condition noted.,CST002357
RET000262,2022-01-26,Product not as described,Approved,2022-01-28,Customer requested return. Condition noted.,CST001392
RET000263,2024-10-24,Duplicate purchase,Approved,2024-10-31,Customer requested return. Condition noted.,CST000810
RET000264,2022-11-08,Incompatible with device,Approved,2022-11-12,Customer requested return. Condition noted.,CST000505
RET000265,2024-01-04,Defective product,Approved,2024-01-08,Customer requested return. Condition noted.,CST000054
RET000266,2022-03-01,Better price found elsewhere,Approved,2022-03-07,Customer requested return. Condition noted.,CST000332
RET000267,2022-02-19,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST000629
RET000268,2024-04-14,Damaged during shipping,Approved,2024-04-18,Customer requested return. Condition noted.,CST002566
RET000269,2022-05-30,Product not as described,Processing,,Customer requested return. Condition noted.,CST002634
RET000270,2023-08-02,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST000406
RET000271,2023-12-16,Incompatible with device,Approved,2023-12-21,Customer requested return. Condition noted.,CST002470
RET000272,2023-05-02,Damaged during shipping,Approved,2023-05-07,Customer requested return. Condition noted.,CST000298
RET000273,2024-11-25,Changed mind,Approved,2024-11-27,Customer requested return. Condition noted.,CST002523
RET000274,2024-12-13,Damaged during shipping,Processing,,Customer requested return. Condition noted.,CST002567
RET000275,2023-02-25,Product not as described,Pending,,Customer requested return. Condition noted.,CST000252
RET000276,2022-01-24,Damaged during shipping,Approved,2022-01-29,Customer requested return. Condition noted.,CST000896
RET000277,2022-12-11,Incompatible with device,Approved,2022-12-14,Customer requested return. Condition noted.,CST001560
RET000278,2025-03-04,Damaged during shipping,Approved,2025-03-11,Customer requested return. Condition noted.,CST001845
RET000279,2022-02-24,Better price found elsewhere,Approved,2022-02-27,Customer requested return. Condition noted.,CST001368
RET000280,2022-01-06,Product not as described,Processing,,Customer requested return. Condition noted.,CST002765
RET000281,2022-09-29,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST002330
RET000282,2025-11-06,Better price found elsewhere,Rejected,2025-11-07,Customer requested return. Condition noted.,CST000705
RET000283,2023-12-17,Better price found elsewhere,Approved,2023-12-21,Customer requested return. Condition noted.,CST002614
RET000284,2025-07-07,Wrong item delivered,Approved,2025-07-14,Customer requested return. Condition noted.,CST000525
RET000285,2022-06-24,Incompatible with device,Approved,2022-06-26,Customer requested return. Condition noted.,CST001009
RET000286,2023-02-09,Product not as described,Approved,2023-02-16,Customer requested return. Condition noted.,CST002664
RET000287,2023-11-02,Defective product,Approved,2023-11-09,Customer requested return. Condition noted.,CST001429
